timestamp,formula,domain_size,algorithm,result,status
20250729_102637,3-regular-graph,2,dr,0,completed
2025-07-29T10:26:37.315841,3-regular-graph,2,ganak,16,completed
2025-07-29T10:26:37.405367,3-regular-graph,2,approxmc,16,completed
20250729_102637,3-regular-graph,3,dr,0,completed
2025-07-29T10:26:37.630966,3-regular-graph,3,ganak,0,completed
2025-07-29T10:26:37.721597,3-regular-graph,3,approxmc,0,completed
20250729_102637,3-regular-graph,4,dr,1,completed
2025-07-29T10:26:37.949774,3-regular-graph,4,ganak,1,completed
2025-07-29T10:26:38.038340,3-regular-graph,4,approxmc,1,completed
20250729_102638,3-regular-graph,5,dr,0,completed
2025-07-29T10:26:40.789618,3-regular-graph,5,ganak,0,completed
2025-07-29T10:26:40.882443,3-regular-graph,5,approxmc,0,completed
20250729_102641,3-regular-graph,6,dr,70,completed
2025-07-29T10:26:41.282526,3-regular-graph,6,ganak,70,completed
2025-07-29T10:26:41.381055,3-regular-graph,6,approxmc,70,completed
20250729_102641,3-regular-graph,7,dr,0,completed
2025-07-29T10:26:46.093839,3-regular-graph,7,ganak,0,completed
2025-07-29T10:26:46.310453,3-regular-graph,7,approxmc,0,completed
20250729_102646,3-regular-graph,8,dr,19355,completed
2025-07-29T10:26:48.021836,3-regular-graph,8,ganak,19355,completed
2025-07-29T10:26:54.744779,3-regular-graph,8,approxmc,19328,completed
20250729_102654,3-regular-graph,9,dr,0,completed
2025-07-29T10:43:35.006054,3-regular-graph,9,ganak,TIMEOUT,timeout
2025-07-29T11:00:15.125344,3-regular-graph,9,approxmc,TIMEOUT,timeout
20250729_110015,3-regular-graph,10,dr,11180820,completed
20250729_110015,3-regular-graph,11,dr,0,completed
20250729_110015,3-regular-graph,12,dr,11555272575,completed
20250729_110015,3-regular-graph,13,dr,0,completed
20250729_110015,3-regular-graph,14,dr,19506631814670,completed
20250729_110016,3-regular-graph,15,dr,0,completed
20250729_110016,3-regular-graph,16,dr,50262958713792825,completed
20250729_110016,3-regular-graph,17,dr,0,completed
20250729_110016,3-regular-graph,18,dr,187747837889699887800,completed
20250729_110016,3-regular-graph,19,dr,0,completed
20250729_110017,3-regular-graph,20,dr,976273961160363172131825,completed
20250729_110017,3-regular-graph,21,dr,0,completed
20250729_110017,3-regular-graph,22,dr,6840300875426184026353242750,completed
20250729_110017,3-regular-graph,23,dr,0,completed
20250729_110018,3-regular-graph,24,dr,62870315446244013091262178375075,completed
20250729_110018,3-regular-graph,25,dr,0,completed
20250729_110018,3-regular-graph,26,dr,741227949070136911068308523257857500,completed
20250729_110018,3-regular-graph,27,dr,0,completed
20250729_110019,3-regular-graph,28,dr,10998656630834471395270511844410868639375,completed
20250729_110019,3-regular-graph,29,dr,0,completed
20250729_110020,3-regular-graph,30,dr,202079037581968580481957538481168789636313750,completed
20250729_110020,3-regular-graph,31,dr,0,completed
20250729_110020,3-regular-graph,32,dr,4532573680377522367192164237204303218669843240625,completed
20250729_110021,3-regular-graph,33,dr,0,completed
20250729_110021,3-regular-graph,34,dr,122580518787009584088655025743872513688025323029270000,completed
20250729_110022,3-regular-graph,35,dr,0,completed
20250729_110022,3-regular-graph,36,dr,3953589386296966397314260372237257461960688476684498190625,completed
20250729_110023,3-regular-graph,37,dr,0,completed
20250729_110024,3-regular-graph,38,dr,150598737013294639385460224655232739963477260218861903139293750,completed
20250729_110024,3-regular-graph,39,dr,0,completed
20250729_110025,3-regular-graph,40,dr,6716146353408691120841701156848619472305888531306571635115590096875,completed
20250729_110026,3-regular-graph,41,dr,0,completed
20250729_110026,3-regular-graph,42,dr,347916205027637227573719084034659575364573966723320528976776801396062500,completed
20250729_110027,3-regular-graph,43,dr,0,completed
20250729_110028,3-regular-graph,44,dr,20787160105170559255123186473857865004692934648358833872285279319489931409375,completed
20250729_110029,3-regular-graph,45,dr,0,completed
20250729_110030,3-regular-graph,46,dr,1423219110484473323045748366921702883120811933058432794117155880595002284640718750,completed
20250729_110031,3-regular-graph,47,dr,0,completed
20250729_110032,3-regular-graph,48,dr,111003854768411705247024764426138547077569429343684945099373858134602204226437869515625,completed
20250729_110033,3-regular-graph,49,dr,0,completed
